        question,ground_truth,,,,
What is the email address of Dr. Md. Abdur Razzaque?,razzaque@du.ac.bd,,,,
What are the research interests of Dr. Md. Abdur Razzaque?,"Cloud and Edge Intelligence, AI for Internet of Things, 5IR Technologies, Energy Optimization",,,,
"What is the affiliation of Saiful Azad, PhD?","Professor, Department of Computer Science and Engineering, Green University of Bangladesh",,,,
What is the email of Md. Arafatur Rahman?,arafatur.Rahman@wlv.ac.uk,,,,
What are the research interests of Muhammad Nomani Kabir?,"Computational methods, Networking, Information System, Cryptography, Combustion Engine",,,,
What is the affiliation of Humayan Kabir Rana?,"Sr. Lecturer, Department of Computer Science and Engineering, Green University of Bangladesh",,,,
What are Jahidul Islam's research interests?,"Machine Learning, Natural Language Processing, LLMs, RAG",,,,
What is the email address of Md Ataullha?,Ataullha@cse.green.edu.bd,,,,
Where does Ashish Vaswani work?,Startup,,,,
What is Mohammad Shorif Uddin's research focus area?,"Computer Vision, Agro-Biomedical Imaging, Artificial Intelligence, Smart Technologies",,,,
What is the email address of Farhana Akter Sunny?,farhana@cse.green.edu.bd,,,,
What is the email of Humayan Kabir Rana?,humayan@cse.green.edu.bd,,,,
What is the email of Mohammad Shorif Uddin?,shorifuddin@juniv.edu,,,,
What is Ashish Vaswani's email address?,Vaswani@fastmail.com,,,,
What are Humayan Kabir Rana's research interests?,"Bioinformatics, Machine Learning, Data Mining, Image Processing",,,,
What are the research interests of Saiful Azad?,"Computer communication, Machine learning, data mining, information security",,,,
What is the Google Scholar author ID of Dr. Md. Abdur Razzaque?,1yMUb7wAAAAJ,,,,
What is the Google Scholar author ID of Ashish Vaswani?,oR9sCGYAAAAJ,,,,
What is the Google Scholar author ID of Saiful Azad?,9nMul40AAAAJ,,,,
What university is Dr. Md. Abdur Razzaque affiliated with?,"University of Dhaka, Bangladesh",,,,
What is Mohammad Shorif Uddin's affiliation?,"Jahangirnagar Univ. | Green Univ. of Bangladesh | KIT, TTI, BII, CAS, Chiba Univ, Saitama Univ.",,,,
What is the title of Dr. Md. Abdur Razzaque's most cited paper?,"Review on cyber-physical and cyber-security system in smart grid: Standards, protocols, constraints, and recommendations",,,,
How many citations does the paper 'Attention is all you need' by Ashish Vaswani have?,223052,,,,
What is the title of Saiful Azad's paper published in 2012?,"DESERT Underwater: An NS-Miracle-based framework to design, simulate, emulate and realize test-beds for underwater network protocols",,,,
What is the title of Muhammad Nomani Kabir's most cited paper?,Breast cancer prediction: a comparative study using machine learning techniques,,,,
How many times has the paper 'PrivacyProtector: Privacy-Protected Patient Data Collection in IoT-Based Healthcare Systems' been cited?,306,,,,
What paper did Md. Arafatur Rahman publish in 2021?,Evolution of IoT-enabled connectivity and applications in automotive industry: A review,,,,
What is the title of Farhana Akter Sunny's most cited paper?,A systematic review of blockchain applications,,,,
In which journal was Dr. Md. Abdur Razzaque's paper on smart grid published?,Journal of network and computer applications,,,,
Who are the authors of the paper 'Attention is all you need'?,"A Vaswani, N Shazeer, N Parmar, J Uszkoreit, L Jones, AN Gomez, ...",,,,
In what year was 'Data-centric multiobjective QoS-aware routing protocol for body sensor networks' published?,2011,,,,
What is the citation count for 'Breast cancer prediction: a comparative study using machine learning techniques'?,438,,,,
In which year did Saiful Azad publish the paper 'TeKET: a Tree-Based Unsupervised Keyphrase Extraction Technique'?,2020,,,,
How many citations does Mohammad Shorif Uddin's paper on image quality assessment have?,2065,,,,
What is the email address of Saiful Azad?,dean@fse.green.edu.bd,,,,
What paper did Humayan Kabir Rana publish in 2021 about COVID-19?,Pathogenetic profiling of COVID-19 and SARS-like viruses,,,,
What are the research interests of Farhana Akter Sunny?,"Cyber Security, Semantic Communication, Blockchain Technology, IoT, Wireless Communication",,,,
What is the affiliation of Abdullah-Al Masud?,United International University,,,,
How many citations does the paper 'iWorksafe: Towards Healthy Workplaces During COVID-19' have?,110,,,,
In what year was the paper 'Scalable machine learning-based intrusion detection system for IoT-enabled smart cities' published?,2020,,,,
What is the title of Md Ataullha's paper on dengue outbreak prediction?,Mathematical analysis and prediction of future outbreak of dengue on time-varying contact rate using machine learning approach,,,,
How many citations does the paper 'A systematic review of blockchain applications' have?,170,,,,
What is the email of Muhammad Nomani Kabir?,kabir@cse.uiu.ac.bd,,,,
Which researcher is affiliated with University of Wolverhampton?,Md. Arafatur Rahman,,,,
Which researcher published a paper on iris recognition in 2019?,Humayan Kabir Rana,,,,
What is the title of the paper on cyber security in smart grid?,"Review on cyber-physical and cyber-security system in smart grid: Standards, protocols, constraints, and recommendations",,,,
Who are the co-authors of PyBangla paper?,"J Islam, M Ataullha, S Azad",,,,
What paper did Ashish Vaswani publish on image processing in 2018?,Image transformer,,,,
How many citations does 'Digital image watermarking techniques: a review' have?,361,,,,
How many papers did Dr. Md. Abdur Razzaque publish between 2008 and 2013?,4,,,,
What was the earliest paper published by Saiful Azad in the dataset?,A performance comparison of proactive and reactive routing protocols of Mobile Ad-hoc NETwork (MANET) in 2007,,,,
How many years passed between Dr. Md. Abdur Razzaque's first and last recorded papers?,15,,,,
Which researcher published the most recent paper in 2025?,Jahidul Islam,,,,
How many papers did Muhammad Nomani Kabir publish in 2020?,3,,,,
What is the time gap between Ashish Vaswani's 'Attention is all you need' and 'Image transformer'?,1 year,,,,
Which papers did Dr. Md. Abdur Razzaque publish between 2016 and 2018?,"Enabling the Internet of Things in developing countries: Opportunities and challenges (2016), Mobile cloud-based big healthcare data processing in smart cities (2017), A mobility-aware optimal resource allocation architecture for big data task execution on mobile cloud in smart cities (2018)",,,,
How many papers did Md. Arafatur Rahman publish in 2018?,2,,,,
What was Saiful Azad's research focus in 2012-2014?,Underwater networking protocols and frameworks,,,,
Which researcher has publications spanning from 2016 to 2024?,Muhammad Nomani Kabir,,,,
What year was the transformer architecture paper published?,2017,,,,
Which researcher published papers on COVID-19 in 2020?,Md. Arafatur Rahman,,,,
How many papers did Saiful Azad publish before 2010?,2,,,,
Which researcher published on blockchain technology in 2022?,Farhana Akter Sunny,,,,
How many papers did Dr. Md. Abdur Razzaque publish in 2011?,2,,,,
What was the publication trend for Ashish Vaswani between 2017-2021?,Multiple papers on transformer architectures and attention mechanisms,,,,
Which year had the most paper publications for Muhammad Nomani Kabir?,2020,,,,
How many citations did Dr. Md. Abdur Razzaque's papers receive in total for papers published between 2011 and 2013?,291,,,,
What was the time span of Humayan Kabir Rana's research publications?,2019 to 2021,,,,
Which researcher published on sentiment analysis in 2024?,Muhammad Nomani Kabir,,,,
Which researchers collaborated on the PyBangla paper and when was it published?,"J Islam, M Ataullha, S Azad in 2025",,,,
How many papers did Ashish Vaswani publish in 2018?,4,,,,
Which researcher published on nanofluid bioconvection in 2016?,Muhammad Nomani Kabir,,,,
What is the latest publication year among all researchers?,2025,,,,
Which researcher published on underwater networking protocols?,Saiful Azad,,,,
What is the time range of Md Ataullha's publications?,2024-2025,,,,
What is the title of Humayan Kabir Rana's paper on iris recognition?,A fast iris recognition system through optimum feature extraction,,,,
How many citations does the iris recognition paper by Humayan Kabir Rana have?,71,,,,
What is the publication venue for Humayan Kabir Rana's iris recognition paper?,PeerJ Computer Science,,,,
How many citations does the COVID-19 pathogenetic profiling paper have?,65,,,,
What is the title of Mohammad Shorif Uddin's most cited paper?,"Image quality assessment through FSIM, SSIM, MSE and PSNR—a comparative study",,,,
How many citations does the paper 'Machine vision based papaya disease recognition' have?,235,,,,
What paper did Mohammad Shorif Uddin publish on skin disease detection?,A machine learning approach for skin disease detection and classification using image segmentation,,,,
In what year was the paper on depression prediction by Mohammad Shorif Uddin published?,2021,,,,
How many citations does the heart disease prediction paper have?,168,,,,
What is the title of Farhana Akter Sunny's paper on IoT in education?,IoLT: an IOT based collaborative blended learning platform in higher education,,,,
What paper did Farhana Akter Sunny publish on UAV systems?,A UAV-based traffic monitoring system for smart cities,,,,
How many citations does the UAV traffic monitoring paper have?,42,,,,
What year did Farhana Akter Sunny publish her paper on cognitive radio?,2015,,,,
What is the title of Ashish Vaswani's paper on graph networks?,"Relational inductive biases, deep learning, and graph networks",,,,
How many citations does the graph networks paper have?,4869,,,,
What is the title of Ashish Vaswani's paper on self-attention with relative positions?,Self-attention with relative position representations,,,,
